"Append QuickView Buttons To","Ajouter les boutons vers le sélecteur"
"Enable Quick View","Activer l'aperçu rapide"
"General Settings","Paramètres généraux"
"Go to Product Infos","Consulter la fiche produit"
"Invalid form key.","Clé du formulaire invalide."
"Left to Right","Gauche à droite"
"Modal Settings","Paramètres de la fenêtre modale"
"Modal Title","Titre de la fenêtre modale"
"More Info","Plus d'informations"
"None","Aucun"
"Pop up","Popup"
"Quick View Button Label","Texte du bouton"
"Quick View","Aperçu rapide"
"Quick overview of the product","Aperçu rapide du produit"
"Request not allowed.","Cette requête n'est pas autorisée."
"Show Button Go To Product","Afficher le bouton pour aller à la fiche produit"
"Show Product Downloadable Samples","Afficher les échantillons du produit téléchargeable"
"Show Product's Details Information","Afficher le détail du produit"
"Show Product's Review Information","Afficher les avis du produit"
"Specify Product Items (class) to show Quick View button","Sélectionner les classes pour afficher le bouton d'aperçu"
"This product was not found.","Ce produit est introuvable."
"This product was out of stock","Ce produit est en rupture de stock"
"Unable to load product details. Please try again.","Impossible de charger les informations produit. Réessayer."
"We can't add this item to your shopping cart right now.","Ce produit ne peut être ajouté à votre panier d'achat pour le moment."
"You added %1 to your shopping cart.","Vous avez ajouté %1 à votre panier."
"Your session has expired.","Votre session a expirée."